,Address,Txns_x,First Transacted_x,Last Transacted_x,Ⱥ In_x,Ⱥ Out_x,Ⱥ Net_x,Txns_y,First Transacted_y,Last Transacted_y,Ⱥ In_y,Ⱥ Out_y,Ⱥ Net_y,exists
10,NRJPXZTLSGW52JR7LVTNCXIGPGNYH4S45HEXXUE4UCJNYMPUTKSPMCKZQM,37,"7/2/2022, 6:46:14 AM","7/6/2023, 9:27:10 PM",0.0,170231.864592,-170231.864592,1.0,"10/24/2022, 4:09:44 PM","10/24/2022, 4:09:44 PM",0.0,0.002,-0.002,both
12,XNPHD5V67HTZ26I7IHIKWEQ6ZMIXEQJCLMNJAIXQ2Y2OCNIM6Z3GPDEUDU,43,"4/4/2022, 8:02:09 PM","7/6/2023, 7:52:15 AM",0.0,13655.782038,-13655.782038,1.0,"10/24/2022, 9:35:23 PM","10/24/2022, 9:35:23 PM",0.0,0.002,-0.002,both
33,LD2JI2ABTAIEK5LAPVDZBQ45DIK3G5J5XYQ4AQUDX5GV3ULEDRXXBYYQBU,4,"7/6/2022, 8:30:12 AM","7/2/2023, 3:17:09 AM",0.0,71.755013,-71.755013,1.0,"10/24/2022, 2:48:36 PM","10/24/2022, 2:48:36 PM",0.0,0.002,-0.002,both
38,G75IBBAZ7IND4XFBIFFIKRUZ73246PL5XNTQBUN35NOQSDQDCIN6RASR3Q,4,"4/22/2023, 11:04:09 PM","6/30/2023, 9:35:14 PM",0.0,1480.3642,-1480.3642,1.0,"10/24/2022, 12:17:39 PM","10/24/2022, 12:17:39 PM",0.0,0.002,-0.002,both
52,ICVSW3FPQROTF5THS7BNIMTSUEIVMATFCNSHYJKESEKWRJ3AUF2HBAOWWY,11,"5/31/2022, 9:26:09 AM","6/27/2023, 11:49:13 PM",0.0,33711.566204,-33711.566204,1.0,"10/24/2022, 1:28:17 PM","10/24/2022, 1:28:17 PM",0.0,0.002,-0.002,both
64,7UL7P5BQSZSUU3EHJ6L35C2KCRFQOMONAXPSX4CEMLXT4NJNBNHPSKP6AM,24,"1/19/2022, 2:14:07 AM","6/24/2023, 9:52:16 PM",0.0,43678.6377,-43678.6377,1.0,"10/23/2022, 12:29:57 PM","10/23/2022, 12:29:57 PM",0.0,0.002,-0.002,both
67,65VT25KFLBJDBZZ4IRCKI5JGLZUF5TRLYF7GFOMFYED4RP7YXYLVH2B4FU,6,"4/14/2023, 12:13:09 AM","6/24/2023, 10:45:14 AM",0.0,598.798113,-598.798113,1.0,"10/22/2022, 9:03:53 PM","10/22/2022, 9:03:53 PM",0.0,0.002,-0.002,both
94,UEV6II4CNLPAMSKYA7WYSL3BLY37YEWFI7LCBKMNBJJ75XYC3KTPIR2Z3Y,1,"6/11/2023, 1:24:12 AM","6/11/2023, 1:24:12 AM",0.0,71.0,-71.0,1.0,"10/24/2022, 7:47:00 PM","10/24/2022, 7:47:00 PM",0.0,0.002,-0.002,both
112,J3QCTE3VDGJKZMS3D2Q5J7SHJYKPKLWDFPN7FZCGZRSJKML6K7ERWGU4P4,2,"4/4/2023, 9:31:13 PM","6/1/2023, 10:12:08 PM",0.0,20010.0,-20010.0,1.0,"10/24/2022, 1:54:23 PM","10/24/2022, 1:54:23 PM",0.0,0.002,-0.002,both
125,C4Y4A2ZSASK54KVGQLDEO2GZTCIRVMHVCGBF6HGPWHDQ5QY5FRFXQF5WQY,15,"12/17/2022, 4:28:11 AM","5/18/2023, 6:56:15 AM",0.0,27127.819399,-27127.819399,1.0,"12/14/2022, 10:31:35 AM","12/14/2022, 10:31:35 AM",0.0,0.201,-0.201,both
